Name,Category,Author name,Author category,"Does the document acknowledge/reference a broader ""primitive""",Use cases mentioned,Watermark/Watermark-Adjacent Technologies Mentioned,Technologies as an Exhaustive List,Coordination with developer for watermark generation (coarse),Coordination with developer for watermark generation (fine),Detection process acknowledgement,Detection process implementation (Fine),Distinguish between verifiers and tool providers (coarse),Distinguish between verifiers and tool providers (fine),Who are verifiers required to trust (coarse),Who are verifiers required to trust (fine),What properties does the document acknowledge?,Adversarial robustness (coarse),Adversarial robustness (fine),Honest robustness (coarse),Honest robustness (fine),Quality (coarse),Quality (fine),False negative rate (coarse),False negative rate (fine),Unforgeability (coarse),Unforgeability (fine),False positive rate (coarse),False positive rate (fine),Calls to action,Assertiveness of call to action,Additional Notes,Column 33,Column 34,Column 35
Watermarks aren’t the silver bullet for AI misinformation,Web Article,Makena Kelly,Journalist(s),Yes,"Misinformation, Disinformation","Invisible Watermarks, Visible Watermarks, Metadata tagging",Examples,Does not discuss,"Does not discuss (Invisible Watermarks)
Does not discuss (Visible Watermarks)
Does not discuss (Metadata tagging)",Acknowledges that a detection process exists (if applicable),"Requires specialized AI detection software for Invisible Watermarks
Does not discuss specifics (Metadata Tagging)
Does not discuss specifics (Visible Watermarks)",No,"No (Invisible Watermarks), Not Applicable (Visible Watermarks), No (Metadata Tagging)",Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability, False Positive Rate, Honest Robustness, Quality","Watermarks can be removed for all watermarking technologies. 
",Extreme image manipulation can still remove invisible watermarks. ,Acknowledged,"Watermarks for visible watermarking can be cropped and removed, Invisible watermarks cannot be easily cropped and removed.",Acknowledged,"Visible watermarks can degrade image quality, Invisible watermarks maintain the quality of the original content",Not Mentioned,Not Mentioned,Watermarks from all watermarking technologies can be forged,N/A,Forging watermarks can introduce false positives. ,N/A,Watermarking is not sufficient,Suggestion,Other technologies need to be paired with watermarks.,,,
Watching the detectives: Suspicious marketing claims for tools that spot AI-generated content,Web Article,Michael Atleson,Journalist(s),No,Deepfakes,"Invisible Watermarks, Post-hoc detection",Examples,Adding watermarks requires model developer involvement,"Invisible watermarks require model developers to integrate when outputing model results.
Not applicable (Post-hoc detection)",Does not acknowledges that a detection process exists (if applicable),"Does not discuss (Invisible watermarks)
Not applicable (Post-hoc detection)",No,"No (Invisible Watermarks), No (Post-hoc detection)",Detection-tool providers,Detection tool providers (post-hoc detection),Adversarial Robustness,Acknowledged,Lightly edited images by GenAI may not be detected by Post-hoc detection,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Caution in deployement of watermarks,Suggestion,Talks about bias in detection tools,,,
Google Unveils SynthID To ID AI Generated Content — But Does It Work?,Web Article,Tor Constantino,Journalist(s),No,"Misinformation, Deepfakes",Invisible Watermarks,Exhaustive List,Adding watermarks requires model developer involvement,AI developers can weave invisible watermarks into their own models.,Acknowledges that a detection process exists (if applicable),Invisible Watermarks - Synth ID tool can also scan other content to detect a watermark.,No,No (Invisible Watermarks),Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability",Acknowledged,SynthID/Invisible Watermarks are are susceptible to tampering and removal. ,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,"Invisible watermarks can be forged or stolen, making the use of watermarks potentially worse than not using them at all. ",Not Mentioned,Not Mentioned,Caution in deployement of watermarks,Suggestion,,,,
Federal AI Action: The First Step Toward NIST Guidance on AI Development,Web Article,Paulina Enck,Journalist(s),No,None,None,N/A,Does not discuss,N/A,Not Applicable,N/A,Not Applicable,Not Applicable,Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,N/A,,,,
Unpacking the White House’s Executive Order on AI,Web Article,Prem Trivedi,Journalist(s),No,Authenticating Communications,None,N/A,Does not discuss,N/A,Not Applicable,N/A,Not Applicable,Not Applicable,Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,N/A,,,,
Ungovernable or Humanitarian Experimentation? Generative AI as an Accountability Issue,Web Article,Kirstin Sandvik and Kristoffer Linden,Journalist(s),No,"Misinformation, Disinformation",None,N/A,Does not discuss,N/A,Not Applicable,N/A,Not Applicable,"No, Not Applicable",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,N/A,More must be learned about watermarks,,,
Approaches to Address AI-enabled Voice Cloning,Web Article,FTC Office of Technology,Government entity,Yes,Fraud/Scams,"Invisible Watermarks, Visible Watermarks",Exhaustive List,Adding watermarks requires model developer involvement,Watermarks can be embedded by model developers.,Acknowledges that a detection process exists (if applicable),"Detection can be implemented through an SDK to allow for maximal interoperability (invisible watermarks)
Not Applicable (Visible Watermarks)",No,"No (Invisible Watermarks), Not Applicable (Visible Watermarks)",Not mentioned,Not mentioned,"Adversarial Robustness, False Positive Rate",Acknowledged,Invisible and visible watermarks can be removed or altered.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,False positives from watermarking technologies can be very harmful,N/A,,N/A,More of an informational document,,,
"OpenAI, Google will watermark AI-generated content to hinder deepfakes, misinfo",Web Article,Ashley Belanger,Journalist(s),Yes,"Misinformation, Deepfakes, Fraud","Invisible watermarks, Metadata tagging",Examples,Adding watermarks requires model developer involvement,Adding watermarks requires dev involvement (invisible watermarks,Does not acknowledges that a detection process exists (if applicable),Not mentioned (invisible watermarks),No,No (invisible watermarks),Not mentioned,N/A,None,Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Development of standards,Suggestion,,,,
Deepfake Laws Risk Creating More Problems Than They Solve,Web Article,Matthew Feeney,Journalist(s),No,"Deepfakes, Election integrity","Explicit labels, Metadata tagging",Examples,Does not discuss,N/A (Explicit Labels),Does not acknowledges that a detection process exists (if applicable),N/A (`Explicit Labels`),No,Not Applicable (Explicit Labels),Not mentioned,Not mentioned,Adversarial robustness,Acknowledged,"Labels and Metadata can be easily removed (Explicit Labels, Metadata Tagging)",Not Mentioned,Not Mentioned (Explicit Labels),Not Mentioned,Not Mentioned (Explicit Labels),Not Mentioned,Not Mentioned (Explicit Labels),Not Mentioned,Not Mentioned (Explicit Labels),Not Mentioned,Not Mentioned (Explicit Labels),"Development of standards, Caution in deployment of watermarks",Strong suggestion,,,,
U.S. AI Safety Institute and European AI Office Hold Technical Dialogue,Web Article,NIST,Government entity,Yes,None,Invisible watermarks,Examples,Does not discuss,Not mentioned (insivible watermarks),Does not acknowledges that a detection process exists (if applicable),Not mentioned (insivible watermarks),No,No (invisible watermarks),Not mentioned,N/A,None,Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),Development of standards,Suggestion,,,,
Beyond Watermarks: Content Integrity Through Tiered Defense,Web Article,Kevin Klyman and Renée DiResta,Academic expert(s),Yes,"Election integrity, Disinformation, Deepfakes, NCII, CSAM","Invisible watermarks, Metadata tagging, Visible watermarks",Exhaustive List,Adding watermarks requires model developer involvement,Mentions that developers need to embed invisible watermarks in their models (invisible watermarks). Not mentioned (metadata tagging).,Does not acknowledges that a detection process exists (if applicable),High-level mention of detectors (invisible watermarks).,No,N/A,Not mentioned,N/A,"Adversarial robustness, Unforgeability",Acknowledged.,"Mentions that watermarks can usually be removed, and that open-source models without watermarks can be used instead (invisible watermarks). Mentions that watermarks can be removed (metadata tagging).",Not mentioned,N/A,Not mentioned,N/A,Not mentioned,N/A,Acknowledged.,Mentions that bad actors can create fake watermarks (invisible watermarks). Not mentioned (metadata tagging).,Not mentioned,N/A,None,N/A,"Suggests regulating harms of using AI content, instead of mandating usage of watermarks directly. Also suggests penalizing platforms that allow their models to produce harmful content.",,,
Title: Google DeepMind Introduces SynthID-Text: Revolutionary AI Watermarking Tool for Text Generation,Web Article,Nick Quick,Other online contributor(s),No,None,Invisible watermarks,Examples,Adding watermarks requires model developer involvement,"Describes watermark generation process, in the context of the model developer (invisible watermarks).",Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,N/A,Quality,Not mentioned,N/A,Not mentioned,N/A,Acknowledged,Mentions that quality is not affected (invisible watermarks).,Not mentioned,N/A,Not mentioned,N/A,Not mentioned,N/A,None,N/A,,,,
The Ethics and Economics of AI Watermarking: OpenAI’s ChatGPT Dilemma,Web Article,They Layman Speaks,Other online contributor(s),No,Misinformation,"Invisible watermarks, Metadata tagging",Examples,Adding watermarks requires model developer involvement,"Describes watermark generation process, in the context of the model developer (invisible watermarks). Not mentioned (metadata tagging).",Acknowledges that a detection process exists (if applicable),Detection by specialized tools (invisible watermarks).,No,N/A,Not mentioned,N/A,"Adversarial robustness, Quality, False positive rate",Acknowledged.,Mentions that users can circumvent watermarks by using multiple AI models or extensive paraphrasing (invisible watermarks). Not mentioned (metadata tagging).,Not mentioned,N/A,"Mentions, in general for all technologies, that watermarking does not degrade the quality of outputs.","Not mentioned (invisible watermarks, metadata tagging).",Not mentioned,N/A,Not mentioned,N/A,Acknowledged.,Mentions that false positives are not possible (metadata tagging). Not mentioned (invisible watermarks).,Caution in deployment of watermarks,Suggestion,"Mentions that watermarking ""could stigmatize legitimate uses of AI tools, particularly for non-native speakers or individuals who rely on AI assistance for communication"".",,,
The Case for and Against AI Watermarking,Web Article,Chad Heitzenrater,Practitioner expert(s),Yes,None,None,N/A,Does not discuss,N/A (no individual technologies mentioned),Acknowledges that a detection process exists (if applicable),Just acknowledges,No,No,Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability, Honest Robustness, False Negative Rate, False Positive Rate, Quality","Acknoledges robustness as an important property. Acknoledges that increasing robustness generally comes at the expense of ""fidelity"" (??) and ""capacity"" (??). Notes that watermarks don't have to be removed completely, but rather just made undetectable. Notes that actors can make small tweaks (or larger changes) to content in order to make the watermark undetectable. Notes that a watermark not being present can only inform that an object is unaltered AI output (n.b. that this ignores that the watermark may have some false negative).",N/A (no individual technologies mentioned),"Notes that the watermark must be ""robust enough to stand up to operations by any kind of software"". Also, ""benign users are likely to use or share AI-derived content in ways that risk the integrity"".",N/A (no individual technologies mentioned),"Mentions that ""fidelity"" (which they use to mean quality) is an important property, which is in tension with robustness and ""capacity"".",N/A (no individual technologies mentioned),Acknowledges that false negatives may be a concern.,N/A (no individual technologies mentioned),Mentions that it is important for watermarks not to be able to be applied to non-AI content.,N/A (no individual technologies mentioned),Acknowledges that false positives may be a concern.,N/A (no individual technologies mentioned),"Development of standards, Caution in deployement of watermarks",Suggestion,"For detection process, broadly asks ""who should be able to read the mark, and when""? Asks some interesting socio-technical questions, like ""how should the lack of a mark, or the presence of multiple marks, be interpreted?""",,"For detection process, broadly asks ""who should be able to read the mark, and when""? Asks some interesting socio-technical questions, like ""how should the lack of a mark, or the presence of multiple marks, be interpreted?""",
AI watermarking must be watertight to be effective,Web Article,N/A,N/A,Yes,"Misinformation, Plagiarism",Invisible watermarks,Examples,Adding watermarks requires model developer involvement,Adding watermarks requires dev involvement (IW),Acknowledges that a detection process exists (if applicable),"""Specialized software""",No,No (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),"Quality, Adversarial robustness",Acknowledged.,"""it is still comparatively easy for a determined individual to remove a watermark"" (IW)",Not mentioned,Not mentioned,Acknowledged,"""Should be invisible to the user"", people do not notice diminished quality (IW)",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Caution in deployment of watermarks,N/A,"There is an urgent need for improved technological capabilities to combat the misuse of generative AI, and a need to understand the way people interact with these tools",,,
NOTEWORTHY: Biden-⁠Harris Administration Secures Voluntary Commitments from Leading Artificial Intelligence Companies to Manage the Risks Posed by AI,Web Article,"Paul Scharre, Tim Fist, Bill Drexel, Michael Depp, Caleb Withers, and Noah Greene",Journalist(s),Yes,None,None,N/A,Adding watermarks requires model developer involvement,Simply mentions that companies commit to developing watermarking systems.,Does not acknowledges that a detection process exists (if applicable),Does not mention,No,No,Not mentioned,N/A,Adversarial robustness,"Watermarking techniques can generally be defeated through deliberate modification of AI-generated content (for example, paraphrasing AI-generated text, or making additional edits to AI-generated images)",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Model providers must add watermarks, Caution in deployment of watermarks",Suggestion,"However, while watermarking has an important role to play, it will not be a panacea for dealing with sophisticated actors looking to avoid detection.",,,
How to Prepare for the Deluge of Generative AI on Social Media,Web Article,Sayash Kapoor & Arvind Narayanan (Knight Columbia),Academic expert(s),Yes,"Digital Provenance, Election Integrity, Disinformation, Fraud/Scams, NCII","Invisible Watermarks, Metadata tagging, Post-hoc detection",Examples,Adding watermarks requires model developer involvement,"Bad actors can remove watermarking features in models, use models not developed with watermarking (Invisible watermarks)
Not mentioned (Metadata Tagging)
N/A (Post-hoc detection)",Acknowledges that a detection process exists (if applicable),"Invisible watermarks can be detected by AI using cryptographic techniques
Does not discuss (Metadata Tagging)
N/A (Post-hoc detection)",No,"No (Invisible Watermarks), No (Metadata Tagging), No (Post-hoc detection)",Not mentioned,Not mentioned,"Adversarial Robustness, False Negative Rate, False Positive Rate",Acknowledges,Invisible watermark features can simply be removed,Not Mentioned,Not Mentioned,Acknowledged,Invisible watermarking features are invisible to the human eye.,Acknowledged,Post-hoc detectors have a high false negative rate,Not Mentioned,Not Mentioned,Acknowledged,False positives from post-hoc detectors can create harms for individuals. ,Watermarking is not sufficient,Strong suggestion,,,,
It’s easy to tamper with watermarks from AI-generated text (MIT Tech Review) ,Web Article,Melissa Heikkilä,Journalist(s),Yes,"Misinformation, Plagiarism",Invisible Watermarks,Examples,Adding watermarks requires model developer involvement,AI Act requires developers to implement watermarking (Invisible Watermarks),Does not acknowledges that a detection process exists (if applicable),Does not discuss (Invisible Watermarks),No,No (Invisible Watermarks),Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability",Acknowledges,Invisible watermarks are easy to remove.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Watermarks can be stolen and forged.,Not Mentioned,Not Mentioned,Caution in deployement of watermarks,Suggestion,,,,
AI Watermarking Won't Curb Disinformation (EFF),Web Article,Jacob Hoffman-Andrews,Journalist(s),Yes,"Plagiarism, Disinformation","Invisible Watermarks, Visible Watermarks, Post-hoc detection, Metadata tagging",Examples,Adding watermarks requires model developer involvement,"An AI developer needs to embed invisible watermarks in text
Not Applicable (Visible Watermarks)
Does not discuss (Metadata Tagging)
Not Applicable (Post-hoc detection)",Acknowledges that a detection process exists (if applicable),"There is a question of whether detection tools for watermarks should be public or not. ""Making detection tools publicly available gives an advantage to those who want to remove watermarking, because they can repeatedly edit their text or image until the detection tool gives an all clear. But keeping them a secret makes them dramatically less useful, because every detection request must be sent to whatever company produced the watermarking.""",Yes,"Yes (Invisible watermarks), Yes (post-hoc detection), Not Applicable (Visible Watermarks), No (Metadata Tagging)",Not mentioned,Not mentioned,"Adversarial Robustness, Quality, False Positive Rate",Acknowledges,Invisible watermarks are easy to remove.,Not Mentioned,Not Mentioned,Acknowledged,"Invisible watermarking features are invisible to the human eye.
Metadata tags are unobtrusive.
Visible watermarks are obtrusive.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Post-hoc detection produces false positives.,Caution in deployement of watermarks,Suggestion,Talks about digital signatures for cameras/images,,,
Why watermarking AI-generated content won’t guarantee trust online (MIT Tech Review),Web Article,Claire Leibowicz,Journalist(s),Yes,"Misinformation, Election Integrity, Liar's Dividend","Metadata tagging, Invisible Watermarks, Visible Watermarks, Cryptographic/Digital Signatures",Examples,Does not discuss,"Does not discuss (Invisible watermarks)
Does not discuss (Metadata tagging)
Does not discuss (Visible Watermarks)
Does not discuss (Cryptographic/Digital Signatures)",Acknowledges that a detection process exists (if applicable),"""Who gets to decide whether content is AI-generated, and perhaps as an extension, whether it is misleading? If everyone can detect watermarks, that might render them susceptible to misuse by bad actors. On the other hand, controlled access to detection of invisible watermarks—especially if it is dictated by large AI companies—might degrade openness and entrench technical gatekeeping."" -- invisible watermarks",Yes,Yes (Invisible watermarks),Detection-tool providers,Detection tool providers (Invisible Watermarks),"Adversarial Robustness, Quality",Acknowledged.,Both invisible and visible watermarks can be altered or removed. Invisible watermark durability may vary between information mediums.,Not Mentioned,Not Mentioned,Acknowledged,"Invisible watermarks are imperceptible to the naked eye.
Not mentioned (Visible Watermarks)
Not mentioned (Metadata tagging)
Not mentioned (Cryptographic/Digital Signatures)
",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Development of standards,Strong suggestion,,,,
AI watermarking could be exploited by bad actors to spread misinformation. But experts say the tech still must be adopted quickly (FedScoop),Web Article,Nikal Krishan,Journalist(s),Yes,"Disinformation, Deepfakes, Misinformation","Invisible Watermarks, Visible Watermarks, Metadata tagging",Examples,Does not discuss,"Does not discuss (Invisible watermarks)
Does not discuss (Metadata tagging)
Not applicable (Visible watermarks)",Acknowledges that a detection process exists (if applicable),"Invisible watermarks can only be detected with specialized software.
Not Applicable (Visible Watermarks)
Does not discuss (Metadata tagging)",No,"No (Metadata Tagging), No (Invisible Watermarks), Not Applicable (Visible Watermarks)",Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability",Watermarks can be removed.,Not mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Watermarks can be manufactured,Not mentioned,Not Mentioned,Not Mentioned,Development of standards,Suggestion,,,,
"Meta’s AI Watermarking Plan Is Flimsy, at Best",Web Article,"David Evan Harris, Lawrence Norden",Academic expert(s),Yes,"Disinformation, Deepfakes, Misinformation","Invisible Watermarks, Metadata tagging, Post-hoc detection",Exhaustive List,Adding watermarks requires model developer involvement,"Enforcing C2PA requires model developer involvement (Metadata Tagging)
Open source models may not implement invisible watermarks (Invisible watermarks)
Not Applicable (Post-hoc detection)",Acknowledges that a detection process exists (if applicable),"Upload to an online detection tool (Metadata tagging)
Does not mention (Invisible watermarks)
Not applicable (Post-hoc detection)
",Yes,"Yes (metadata tagging), No (Invisible Watermarks), No (Post-hoc detection)",Not mentioned,Not mentioned,"Adversarial Robustness, Quality",Acknowledges,"Invisible watermarks are hard to remove.
Metadata tagging is easy to remove.",Not Mentioned,Not Mentioned,Acknowledged,Invisible watermarks limit impact on content.,Not Mentioned,Not Mentioned,Not Mentioned,Not mentioned,Not Mentioned,Not Mentioned,Model providers must add watermarks,Strong suggestion,,,,
"California Lawmakers Push for Watermarks on AI-Made Photo, Video",Web Article,Titus Wu,Journalist(s),Yes,"Misinformation, Disinformation, Election Integrity, Plagiarism","Metadata tagging, ""Say """"I Used AI""""""",Examples,Adding watermarks requires model developer involvement,"Model developers should watermark their model's content.
Model developers should embed metadata into their content.
N/A (Say 'I Used AI')",Acknowledges that a detection process exists (if applicable),"Model developers should provide a public tool to identify content from their models.
N/A (Say 'I Used AI')",Yes,Yes,Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability",Watermarks can be removed.,Not mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Watermarks can be forged.,Not mentioned,Not Mentioned,Not Mentioned,,N/A,,,,
Advancing AI Transparency: The Rise and Challenges of Watermarking Technology for Identifying AI-Generated Content,Web Article,Cristina Q. Almendarez,Legal expert(s),Yes,None,Invisible Watermarks,Examples,Adding watermarks requires model developer involvement,Model developers have pledged to implement invisible watermarks.,Acknowledges that a detection process exists (if applicable),Invisible watermarks detected by algorithms.,No,No (Invisible Watermarks),Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability",Acknowledges,Invisible watermarks can be scrubbed from text. ,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Invisible watermarks can be forged via model approximation.,Not Mentioned,Not Mentioned,Development of standards,Suggestion,,,,
The Biden Administration and the First Executive Order on Artificial Intelligence: An Assessment on AI Watermarking Regulations,Web Article,Melissa Alivisi,Other online contributor(s),No,"Election Integrity, Disinformation, Fraud/Scams",None,N/A,Does not discuss,N/A,Not Applicable,N/A,Not Applicable,Not Applicable,Not mentioned,Not mentioned,"False Positive Rate, False Negative Rate",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Not Mentioned,,N/A,,,,
"Watch out for false claims of deepfakes, and actual deepfakes, this election year",Web Article,"Daniel S. Schiff, Kaylyn Jackson Schiff, and Natália Bueno",Academic expert(s),Yes,"Misinformation, Deepfakes, Liar's Dividend","Visible Watermarks, Metadata tagging, Invisible Watermarks",Examples,Does not discuss,"Does not discuss (Metadata tagging)
Not applicable (Visible watermarks)
Does not discuss (Invisible watermarks)",Does not acknowledges that a detection process exists (if applicable),"Does not discuss (Metadata tagging)
Not applicable (Visible watermarks)
Does not discuss (Invisible watermarks)",No,"Not Applicable (Visible Watermarks), No (Invisible Watermarks), No (Metadata Tagging)",Not mentioned,Not mentioned,Adversarial Robustness,Watermarks must be tamper-proof.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Watermarking is not sufficient,Suggestion,,,,
The AI Act’s AI Watermarking Requirement Is a Misstep in the Quest for Transparency,Web Article,"Justyna Lisinska, Daniel Castro",Practitioner expert(s),Yes,"Misinformation, Deepfakes","Visible Watermarks, Invisible Watermarks",Exhaustive List,Adding watermarks requires model developer involvement,"AI systems can embed watermarks while generating content
AI systems can embed watermarks after generating content
Does not differentiate between invisible and visible watermarks for these.",Acknowledges that a detection process exists (if applicable),"Specialized algorithms detect watermarks (Invisible watermarks)
N/A (Visible Watermarks)",No,"Not Applicable (Visible Watermarks), No (Invisible Watermarks)",Not mentioned,Not mentioned,"Adversarial Robustness, Quality","Watermarks must be tamper-proof, easy to tamper and remove.",Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,"Invisible watermarks are inconspicuous and invisible to naked eye.
Increasing invisible watermark robustness will degrade quality.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Caution in deployement of watermarks,Suggestion,,,,
Meta unveils AI video generator that adds sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
